,Модель: iPhone 11                                    Версия: iOS 16.1.1,"Приложение: ""Supermarket Mania Journey""",,,,,,,,,,,,,,
Кейсы,,,,,,,,Баги,,,,,,,,
№ кейса,Название кейса,Предусловие,Шаги,Ожидаемый результат,Фактический результат,Статус,,Номер,Название,Шаги,Ожидаемый результат,Фактический результат,Скриншот,,Вопросы/Предложения,
Действия с приложением,,,,,,,,1,"На карте при тапе на ""Сердечко"" отсутствует подсказка","1. Открыть карту
2. Тапнуть ""Сердечко""",Появляется подсказка,Подсказка отсутствует,https://drive.google.com/file/d/1mGElIqoTa-Nuk7oby2GNlw8kwmUYw4Yv/view?usp=share_link, ,"1. На Карте, при тапе на кнопку ""Стрелка вниз"" (возле ""TINSEL TOWN"") появляется подменю с иконками, но скрыть его можно только нажатием снова на эту кнопку. Было бы здорово, если бы его можно было бы скрыть тапом в свободной области", 
1,Наличие приложения в App Store,"Телефон включен, есть подключение к интернету","1. Войти в ""App Store""
2. Перейти на вкладку ""Search""
3. Ввести в поисковой строке ""Supermarket Mania Journey""
4. Нажать ""Search""","Приложение ""Supermarket Mania Journey"" найдено",-,TRUE,,2,"На первом уровне (""Продуктовый день 1"")  подсказка ""Следите за значком настроения ..."" не полностью расписана","1. Открыть уровень 1 (""Продуктовый день 1"")
2. Проходить уровень до появления подсказки ""Следите за значком настроения ..."""," Текст:
""Следите за значком настроения покупателя:
ЗЕЛЕНЫЙ - покупатель доволен, 
ЖЕЛТЫЙ - покупатель чем-то недоволен, 
КРАСНЫЙ - он уходит!"""," Текст:
""Следите за значком настроения покупателя:
ЗЕЛЕНЫЙ, ЖЕЛТЫЙ, КРАСНЫЙ - он уходит!""",https://drive.google.com/file/d/1WkzgXwa0knFKSe45ONutILrQluxF5xqq/view?usp=share_link, ,2. Нельзя никак закрыть обучающий режим и выйти в режим карты до полного прохождения первого уровня, 
2,Установка приложения из App Store,"Телефон включен, есть подключение к интернету","1. Повторить шаги кейса №1 
2. Рядом с названием игры нажать кнопку ""Get""","Приложение ""Supermarket Mania Journey"" устанавливается ",-,TRUE,,3,"На первом уровне (""Продуктовый день 1"")  при тапе на ""Человечка с корзиной"" (в правом верхнем углу) появляется всплывающая подсказка, которая перекрывает кол-во покупателей","1. Открыть уровень 1 (""Продуктовый день 1"")
2. Тапнуть на шкалу ""Количество покупателей"" (Человечек с корзиной)",Подсказка появляется чуть ниже и не перекрывает поле,Подсказка перекрывает поле (Не видно количество),https://drive.google.com/file/d/1tUEHgweg7mBr3V_iBRte9zdpGqlLPzkA/view?usp=sharing, ,3. Всплывающая подсказка недоступных уровней (сначала пройдите прошлый), 
3,Удаление приложения с телефона,Телефон включен,"1. Найти приложение ""Supermarket Mania Journey"" на рабочем столе телефона
2. Нажать и удерживать иконку приложения
3. В раскрывшемся окне нажать ""Удалить приложение"" ","Приложение ""Supermarket Mania Journey"" удалено с телефона",-,TRUE,,4,"На первом уровне (""Продуктовый день 1"") у подсказки ""На подходе другие покупатели..."" неработающий значек след. сообщения ","1. Открыть уровень 1 (""Продуктовый день 1"")
2. Проходить уровень до появления подсказки ""На подходе другие покупатели...."" 
3. Тапнуть на значек 2-ух стрелочек (>>) ",Открывается следующая страница сообщения,"Сообщение закрывается (либо следующего сообщения нет, либо я несколько раз не смог попасть)",https://drive.google.com/file/d/1bSycdVvt7DRMNZgFkkXOZ7_QxS7QI2Mv/view?usp=sharing, ,"4. При появлении подсказок на 1 уровне нельзя нажать ни на кнопку ""Пауза"", ни выйти ", 
4,"Приложение ""Переворачивается"" при повороте телефона на 180*",Приложение установлено на телефон,"1. Запустить приложение ""Supermarket Mania Journey"" 
2. Повернуть телефон на 180*","Приложение ""Supermarket Mania Journey"" ""Переворачивается"" в нужную сторону",-,TRUE,,5,"В комиксе, в диалоге ""Здорово. Можете на меня рассчитывать."" (2 слайд)  точка ушла вниз","1. Запустить приложение первый раз
2. Пролистать на 2-ой слайд комикса
3. Обратить внимание на правй нижний диалог
","Точка в конце предложения находится сразу после последнего слова (""Рассчитывать."")","Точка в конце предложения ушла на следующую строку 
(""Рассчитывать
             ."")",https://drive.google.com/file/d/1wdFSmr1NdbQHQd0wmbuEHVdZEWKvoceN/view?usp=share_link, ,, 
5,Приложение не поддерживает вертикальное расположение игры,Приложение установлено на телефон,"1. Запустить приложение ""Supermarket Mania Journey"" 
2. Повернуть телефон в вертикальное приложение","Приложение ""Supermarket Mania Journey"" остается в горизонтальном положение или поворачивается на 180*",-,TRUE,,6,"В разделе ""Профиль"" в графе ""Дата рождения"" орфографическая ошибка","1. На карте тапнуть кнопку ""Профиль""
2. В разделе ""Мои данные"" обратить внимание на графу ""Дата рождения""","Текст плейсхолдера :""Не указана"" (дата > неуказана)","Текст плейсхолдера :""Не указано""",https://drive.google.com/file/d/1Rl2WbaKl1ANgW5fbZLhhEmIJuN27eWMR/view?usp=sharing, ,, 
6,"Приложение ""Cворачивается""",Приложение установлено на телефон,"1. Запустить приложение ""Supermarket Mania Journey"" 
2. Cвернуть приложение","Приложение ""Supermarket Mania Journey"" сворачивается, отображается рабочий стол телефона",-,TRUE,,7,"В разделе ""Профиль"" в графе ""Лучшие"" подкорректировать текст сообщения","1. На карте тапнуть кнопку ""Профиль""
2. В разделе ""Лучшие"" > всплывающее окно ""Запрос на доступ"" обратить внимание на текст","Текст :""Чтобы мы могли определить вашу страну, город и включить вас в правильный рейтинг ...""","Текст :""Чтобы мы могли определить вашу страну и город и включить вас в правильный рейтинг ...""",https://drive.google.com/file/d/1Rl2WbaKl1ANgW5fbZLhhEmIJuN27eWMR/view?usp=sharing, ,, 
7,"При ""Раскрытии"" приложения отображается последнее ""местонахождение"" в игре","Приложение установлено на телефон, открыт комикс","1. Свернуть приложение ""Supermarket Mania Journey"" 
2. Нажать на иконку приложения","1. Приложение ""Supermarket Mania Journey"" ""Раскрывается""
2. Отображается комикс",-,TRUE,,,,,,,,,,
8,Запуск приложения без интернета,"Приложение установлено на телефон, отсутствует подключение к интернету","1. Запустить приложение ""Supermarket Mania Journey"" ","Появляется сообщение об ошибке ""No connection""",-,TRUE,,,,,,,,,,
9,Отключение интернета во время работы приложения,"Телефон включен, есть подключение к интернету","1. Запустить приложение ""Supermarket Mania Journey"" 
2. Свернуть приложение
3. Отключить интернет
4. Развернуть приложение","Появляется сообщение об ошибке ""No connection""",-,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,
Первый запуск приложения,,,,,,,,,,,,,,,,
10,При первом запуске приложения появляется заставка компании,"Приложение установлено на телефон, ранее не запускалось ","1. Запустить приложения ""Supermarket Mania Journey"" ",1. Появляется заставка компании- производителя (G5),-,TRUE,,,,,,,,,,
11,При первом запуске приложения появляется окно разрешения уведомлений,"Приложение установлено на телефон, ранее не запускалось ","1. Запустить приложения ""Supermarket Mania Journey"" ","1. Появляется окно ""Разрешение на отправку  Вам уведомлений"" c кнопками ""Разрешить"" и ""Запретить""
2. При нажатии на одну из кнопок окно пропадает",-,TRUE,,,,,,,,,,
12,При первом запуске приложения появляется комикс,"Приложение установлено на телефон, ранее не запускалось ","1. Запустить приложения ""Supermarket Mania Journey"" 
2. В окне ""Разрешение на отправку Вам уведомлений"" выбрать любой вариант",1. Появляется комикс,-,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,
Комикс,,,,,,,,,,,,,,,,
13,"На первом слайде комикса имеется кнопка ""Вправо"" (>)",Открыт первый слайд комикса ,"1. Убедиться в наличии кнопки ""Вправо"" (>)","кнопка ""Вправо"" (>) имеется на первом слайде",-,TRUE,,,,,,,,,,
14,"На втором слайде комикса имеется кнопка ""Влево"" (<) и ""Вправо"" (>)",Открыт второй слайд комикса ,"1. Убедиться в наличии кнопок ""Влево"" (<) и ""Вправо"" (>)","кнопки ""Влево"" (<) и ""Вправо"" (>) имеются на втором слайде",-,TRUE,,,,,,,,,,
15,"На третьем слайде комикса имеется кнопка ""Влево"" (<)",Открыт третий слайд комикса ,"1. Убедиться в наличии кнопки ""Влево"" (<)","кнопка ""Влево"" (<) имеется на третьем слайде",-,TRUE,,,,,,,,,,
16,"На первом слайде комикса отсутсвует кнопка ""Влево"" (<)",Открыт первый слайд комикса ,"1. Убедиться в отсутствии кнопки ""Влево"" (<)","кнопка ""Влево"" (<) отсутствует на первом слайде",-,TRUE,,,,,,,,,,
17,"На третьем слайде комикса отсутствует кнопка  ""Вправо"" (>)",Открыт третий слайд комикса ,"1. Убедиться в отсутствии кнопки ""Вправо"" (>)","кнопка ""Вправо"" (>) отсутствует на третьем слайде",-,TRUE,,,,,,,,,,
18,"Комикс перелистывается на следующий слайд кнопкой ""Вправо"" (>)",Открыт первый слайд комикса ,"1. Нажать кнопку ""Вправо"" (>)",Комикс перелистывается на следующий (второй) слайд,-,TRUE,,,,,,,,,,
19,Комикс перелистывается на следующий слайд пальцем ,Открыт первый слайд комикса ,1. Перелистнуть на следующий слайд пальцем,Комикс перелистывается на следующий (второй) слайд,-,TRUE,,,,,,,,,,
20,"Комикс перелистывается на предыдущий слайд кнопкой  ""Влево"" (<)",Открыт второй слайд комикса ,"1. Нажать кнопку ""Влево"" (<)",Комикс перелистывается на предыдущий (первый) слайд,-,TRUE,,,,,,,,,,
21,Комикс перелистывается на предыдущий слайд пальцем,Открыт второй слайд комикса ,1. Перелистнуть на предыдущий слайд пальцем,Комикс перелистывается на предыдущий (первый) слайд,-,TRUE,,,,,,,,,,
22,На первом слайде комикс нельзя перелистнуть в левую сторону пальцем,Открыт первый слайд комикса ,1. Попробовать перелистнуть слайд в левую сторону пальцем,Комикс не перелистывается влево,-,TRUE,,,,,,,,,,
23,На третьем слайде комикс нельзя перелистнуть в правую сторону пальцем,Открыт третий слайд комикса ,1. Попробовать перелистнуть слайд в правую сторону пальцем,Комикс не перелистывается вправо,-,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2 уровень (""Продуктовый день 2"")",,,,,,,,,,,,,,,,
24,"2 уровень (""Продуктовый день 2"") Запускается","Открыта карта, 2 уровень доступен","1. Нажать на уровень 2 (""Продуктовый день 2"")
2. В раскрывшимся окне ""Продуктовый день 2"" тапнуть кнопку ""Играть!""","Происходит загрузка уровня, шкала ""Загрузка"" ""Заполняется"" зеленой линией",-,TRUE,,,,,,,,,,
25,"При запуске уровня появляется заставка ""Улучшить магазин""","Открыта карта, 2 уровень доступен","1. Нажать на уровень 2 (""Продуктовый день 2"")
2. В раскрывшимся окне ""Продуктовый день 2"" тапнуть кнопку ""Играть!""","1. Происходит загрузка уровня, шкала ""Загрузка"" ""Заполняется"" зеленой линией,
2. Появляется сообщение ""Улучшить магазин""",-,TRUE,,,,,,,,,,
26,"В магазин не приходят посетители до тапа на зеленую кнопку ""Play"", игра находится в режиме ""Улучшить магазин"" ",Запущен 2 уровень,"1. Подождать 2 минуты
2. Убедиться что посетители не приходят","Посетители не приходят, игра находится в режиме ""Улучшить магазин""",-,TRUE,,,,,,,,,,
27,"При тапе на зеленую ""стрелочку вверх"" на видеокамере открывается окно ""Видеокамера""",Запущен 2 уровень,"1. Тапнуть на зеленую ""стрелочку вверх"" на видеокамере","Открывается окно ""Видеокамера"" c описанием, требованиями (алмазы) и кнопкой ""Улучшить""",-,TRUE,,,,,,,,,,
28,"Окно ""Видеокамера"" можно закрыть на кнопку ""Крестик""","Запущен 2 уровень, нажата зеленая ""стрелочка вверх"" на видеокамере","1. Тапнуть на кнопку ""крестик""","Окно ""Видеокамера"" закрывается",-,TRUE,,,,,,,,,,
29,"Окно ""Видеокамера"" можно закрыть тапом в свободной области (вне окна)","Запущен 2 уровень, нажата зеленая ""стрелочка вверх"" на видеокамере","1. Тапнуть в свободной области экрана (вне окна ""Видеокамера""","Окно ""Видеокамера"" закрывается",-,TRUE,,,,,,,,,,
30,"При тапе на желтую ""стрелочку вверх"" на полке с брокколи открывается окно ""Полка с брокколи""",Запущен 2 уровень,"1. Тапнуть на желтую ""стрелочку вверх"" на полке с брокколи ","Открывается окно ""Полка с брокколи"" c описанием, требованиями (монеты) и кнопкой ""Улучшить""",-,TRUE,,,,,,,,,,
31,"Улучшение ""Полки с брокколи""","Запущен 2 уровень, на балансе игры имеется 2880 монет","1. Тапнуть на желтую ""стрелочку вверх"" на полке с брокколи 
2. Нажать кнопку ""Улучшить""","1. Окно ""Полка с броколли"" закрывается
2. С игрового баланса списывается 2880 монет
3. Возле полки с броколли появляется золотая звездочка",-,TRUE,,,,,,,,,,
32,"При нажатии на кнопку ""Пауза"" игра ставится на паузу",Запущен 2 уровень,"1. Тапнуть кнопку ""Пауза""","1. Игра встает на паузу
2. Появляется желтая кнопка ""Play""",-,TRUE,,,,,,,,,,
33,"При нажатии на желтую кнопку ""Play"" игра возвращается в работу","Запущен 2 уровень, игра стоит на паузе","1. Тапнуть желтую кнопку ""Play""",1. Игра возвращается в работу,-,TRUE,,,,,,,,,,
34,"При нажатии на кнопку ""Пауза"" меняется на кнопку ""Play""(синяя) с подменю ",Запущен 2 уровень,"1. Тапнуть кнопку ""Пауза"" (в правом верхнем углу)","1. Кнопка ""Пауза"" меняется на кнопку ""Play"" (синего цвета)
2. Появляется подменю с кнопками - ""Звук"" ; ""Музыка"" ; ""Выход""",-,TRUE,,,,,,,,,,
35,Звук игры можно выключить/включить,"Запущен 2 уровень,нажата кнопка ""Пауза"" и раскрыто подменю, звуки в игре включены","1. Тапнуть на кнопку ""Звук"" 
2. Повторно тапнуть на кнопку ""Звук""","1. Появляется красный ""Крестик"" на кнопке ""Звук"", звук в игре пропадает
2. Красный ""Крестик"" исчезает, звук в игре появляется",-,TRUE,,,,,,,,,,
36,Музыку в игре можно выключить/включить,"Запущен 2 уровень,нажата кнопка ""Пауза"" и раскрыто подменю, музыка в игре включена","1. Тапнуть на кнопку ""Музыка"" 
2. Повторно тапнуть на кнопку ""Музыка"" ","1. Появляется красный ""Крестик"" на кнопке ""Музыка"", музыка в игре пропадает
2. Красный ""Крестик"" исчезает, музыка в игре появляется",-,TRUE,,,,,,,,,,
37,Выход с уровня на карту,"Запущен 2 уровень,нажата кнопка ""Пауза"" и раскрыто подменю","1. Тапнуть кнопку ""Выход""
2. В появившемся окне ""Выйти"" тапнуть ""Да""","Происходит загрузка карты, шкала ""Загрузка"" ""Заполняется"" зеленой линией",-,TRUE,,,,,,,,,,
38,"После нажатия зеленой кнопки ""Play"" происходит обратный отсчет ",Запущен 2 уровень,"1. Тапнуть на зеленую кнопку ""Play""","Происходит обратный отсчет (""3"" ""2"" ""1"" ""Старт!"")",-,TRUE,,,,,,,,,,
39,Во время игры в магазин заходят покупатели,"Запущен 2 уровень, нажата зеленая кнопка ""Play""",1. Подождать от 30 сек. до 2 минут,В магазин заходят покупатели,-,TRUE,,,,,,,,,,
40,"Если на полке присутствует необходимый покупателю товар, то у покупателя над головой зеленый смайл","Запущен 2 уровень, есть необходимый покупателю товар",-,"Покупатель берет необходимый товар, над головой зеленый  смайл",-,TRUE,,,,,,,,,,
41,"Если на полке отсутствует необходимый покупателю товар ~10 секунд, то смайл над головой покупателя  меняется на желтый","Запущен 2 уровень, необходимый покупателю товар отсутствует",-,"1. Покупатель стоит около корзины
2. Через ~10 секунд зеленый смайл над головой сменяется на желтый",-,TRUE,,,,,,,,,,
42,"Если на полке отсутствует необходимый покупателю товар ~20 секунд, то смайл над головой покупателя меняется на красный","Запущен 2 уровень, необходимый покупателю товар отсутствует",-,"1. Покупатель стоит около корзины
2. Через ~20 секунд желтый смайл над головой сменяется на красный",-,TRUE,,,,,,,,,,
43,"Если на полке отсутствует необходимый покупателю товар ~30 секунд, то покупатель уходит из магазина","Запущен 2 уровень, необходимый покупателю товар отсутствует",-,"1. Покупатель стоит около корзины
2. Через ~30 секунд покупатель выходит из магазина",-,TRUE,,,,,,,,,,
44,Набор новой тележки со склада,"Запущен 2 уровень, тележка пустая","1. Тапнуть на ""Склад""","1. Девушка бежит на склад с пустой тележкой
2. Появляется зеленая шкала заполнения
3. Тележка в правом нижнем углу заполняется
4. Девушка выбегает со склада с полной тележкой",-,TRUE,,,,,,,,,,
45,Заполнение пустой полки с броколли,"Запущен 2 уровень, в тележке что то есть, полка с броколли пуста","1. Тапнуть на ""Полку с броколли""","1. Девушка подбегает к полке с броколли
2. Появляется зеленая шкала заполнения
3. Тележка в правом нижнем углу опустошается
4. Броколли появляются на полке с броколли",-,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,
Карта ,,,,,,,,,,,,,,,,
46,Карта пролистывается вверх/вниз движением пальца,Открыта карта,"1. Проскролить пальцем карту вверх 
2. Проскролить пальцем карту вниз","1. Карта пролистывается вверх
2. Карта пролистывается вниз",-,TRUE,,,,,,,,,,
47,Карта имеет 225 уровней,Открыта карта,1. Проскролить пальцем вверх до конца карты ,Последний видимый уровень - 225,-,TRUE,,,,,,,,,,
48,"Все уровни на карте пронумерованы, идут последовательно",Открыта карта,1. Проскролить пальцем вверх до конца карты ,"1. У каждого уровня есть свой номер 
2. Все номера идут последовательно",-,TRUE,,,,,,,,,,
49,На карте с 20 по 28 уровень и выше начинается анимация облаков,Открыта карта,1. Проскролить пальцем вверх до 20-28 уровня,На 20-28 уровне и выше начинается анимация облаков с частичным перекрытием карты,-,TRUE,,,,,,,,,,
50,Пройденный уровень подсвечивается цветом достижения в игре со звездочкой внутри,"Открыта карта, уровень 1 пройден на ""Бронзу""",1. Обратить внимание на вид 1 уровня,"На пройденном уровне (1 уровень) лежит ""монета"" бронозвого цвета со ""звездочкой"" внутри",-,TRUE,,,,,,,,,,
51,"Не пройденный, но доступный уровень подсвечивается ""Бронзовым"" цветом, круг пустой внутри","Открыта карта, уровень 3 доступен, но не пройден",1. Обратить внимание на вид 3 уровня,"На доступном, но не пройденном уровне (3 уровень) имеется ""Бронзовая"" оконтовка, внутри круга пусто",-,TRUE,,,,,,,,,,
52,"Недоступный уровень не подсвечивается, внутри ""Серый""","Открыта карта, уровень 4 недоступен",1. Обратить внимание на вид 4 уровня,"Недоступный уровень (4 уровень) ""Серого"" цвета, внутри круга пусто",-,TRUE,,,,,,,,,,
53,При тапе на пройденный уровень раскрывается окно с информацией,"Открыта карта, уровень 1 пройден",1. Тапнуть на 1 уровень,"Раскрывается окно с разделами: ""Друзья"", ""Продуктовый день 1""; кнопкой ""Играть!"" 
",-,TRUE,,,,,,,,,,
54,"При тапе на непройденный, но доступный уровень раскрывается окно с информацией","Открыта карта, уровень 3 доступен, но не пройден",1. Тапнуть на 3 уровень,"Раскрывается окно с разделами: ""Друзья"", ""Продуктовый день 3""; кнопкой ""Играть!"" 
",-,TRUE,,,,,,,,,,
55,При тапе на недоступный уровень ничего не происходит,"Открыта карта, уровень 4 недоступен",1. Тапнуть на 4 уровень,При тапе на недоступный уровень ничего не происходит,-,TRUE,,,,,,,,,,
56,"""Меню"" уровня можно закрыть на ""Крестик"" (Х)","Открыта карта, уровень 1 пройден","1. Тапнуть ""Крестик"" (Х)","""Меню"" уровня закрывается, открывается карта",-,TRUE,,,,,,,,,,
57,"""Меню"" уровня можно закрыть тапом в свободной части (вне ""Меню"")","Открыта карта, уровень 1 пройден","1. Тапнуть пальцем в свободной части вне ""Меню""","""Меню"" уровня закрывается, открывается карта",-,TRUE,,,,,,,,,,
58,"При тапе на кнопку ""Стрелка вниз"" (возле ""TINSEL TOWN"") появляется подменю с иконками",Открыта карта,"1. Тапнуть на кнопку ""Стрелка вниз"" (возле ""TINSEL TOWN"")","Появляется подменю с иконками: ""Звук"", ""Музыка"", ""Инфо"" и чекбокс ""Автообновление""",-,TRUE,,,,,,,,,,
59,"При тапе на кнопку ""Плюс"" (в правом верхнем углу) появляется окно ""Банк""",Открыта карта,"1. Тапнуть кнопку ""Плюс"" (в правом верхнем углу)","Открывается окно ""Банк""",-,TRUE,,,,,,,,,,
60,"При тапе на шкалу с ""Кристалами"" появляется подсказка",Открыта карта,"1. Тапнуть на шкалу с ""Кристалами""",Появляется подсказка для чего нужны Кристалы,-,TRUE,,,,,,,,,,
61,"При тапе на шкалу с ""Монетами"" появляется подсказка",Открыта карта,"1. Тапнуть на шкалу с ""Монетами""",Появляется подсказка для чего нужны Монеты,-,TRUE,,,,,,,,,,
62,"При тапе на кнопку ""Почта"" открывается окно для отправки письма",Открыта карта,"1. Тапнуть кнопку ""Почта""",Открывается окно для отправки письма,-,TRUE,,,,,,,,,,
63,"При тапе на кнопку ""Профиль"" открывается окно профиля учетной записи",Открыта карта,"1. Тапнуть кнопку ""Профиль""",Открывается окно профиля учетной записи,-,TRUE,,,,,,,,,,
64,"При тапе на кнопку ""Кубок"" открывается Game Center",Открыта карта,"1. Тапнуть кнопку ""Кубок""",Открывается Game Center,-,TRUE,,,,,,,,,,
65,"При тапе на кнопку ""G5"" открывается страница ""Другие игры G5""",Открыта карта,"1. Тапнуть кнопку ""G5""","Открывается страница ""Другие игры G5""",-,TRUE,,,,,,,,,,
66,"При тапе на кнопку ""Сундук"" открывается окно ""Начальный комплект""","Открыта карта, ""Начальный комплект"" не был куплен","1. Тапнуть кнопку ""Сундук""","Открывается окно ""Начальный комплект"" с кнопкой ""Купить!""",-,TRUE,,,,,,,,,,
67,"Кнопка включения/отключения звука в подменю кнопки ""Стрелка вниз"" (возле ""TINSEL TOWN"")","Открыта карта, нажата кнопка ""Стрелка вниз"" (возле ""TINSEL TOWN""), звук включен","1. Тапнуть кнопку ""Звук""
2. Повторно тапнуть кнопку ""Звук""","1. Звуки игры (тап на другие кнопки, тап на уровни и т.д.) пропадают, на кнопке ""Звуки"" появляется ""красный крестик""
2. Звуки игры (тап на другие кнопки, тап на уровни и т.д.) появляются, на кнопке ""Звуки"" пропадает ""красный крестик""",-,TRUE,,,,,,,,,,
68,"Кнопка включения/отключения музыки в подменю кнопки ""Стрелка вниз"" (возле ""TINSEL TOWN"")","Открыта карта, нажата кнопка ""Стрелка вниз"" (возле ""TINSEL TOWN""), музыка включена","1. Тапнуть кнопку ""Музыка""
2. Повторно тапнуть кнопку ""Музыка""","1. Музыка в игре пропадает, на кнопке ""Музыка"" появляется ""красный крестик""
2. Музыка в игре появляется, на кнопке ""Музыка"" пропадает ""красный крестик""",-,TRUE,,,,,,,,,,
69,"Кнопка информации в подменю кнопки ""Стрелка вниз"" (возле ""TINSEL TOWN"")","Открыта карта, нажата кнопка ""Стрелка вниз"" (возле ""TINSEL TOWN"")","1. Тапнуть кнопку ""Информация""","Открывается окно ""Юр.Инфо.""",-,TRUE,,,,,,,,,,
70,"Чекбокс ""Автообновление""  в подменю кнопки ""Стрелка вниз"" (возле ""TINSEL TOWN"")","Открыта карта, нажата кнопка ""Стрелка вниз"" (возле ""TINSEL TOWN""), чекбокс отжат","1. Тапнуть чекбокс ""Автообновление""
2. Отжать чекбокс ""Автообновление""","1. Появляется зеленая ""Галочка"" в чекбоксе
2. Пропадает зеленая ""Галочка"" в чекбоксе",-,TRUE,,,,,,,,,,